Zip,Address,List Price,List  Date,Approx Living Area,Approx Total SqFt,Cond,Beds Total,Baths Full,Baths Half,DOM,Close Price,Close Date,SP$/SQFT,Car Storage,Stories,Construction Materials,Foundation,Fencing,Pool Type
70125,3600 Octavia  St ,"$490,000",01/01/2023,,,EXCE,3,2,1,64,"$490,000",03/06/2023,,Garage,1,Brick,,,
70115,5213 Laurel  St ,"$760,000",03/22/2023,,,EXCE,4,2,1,76,"$760,000",06/06/2023,,None,2,"Hardy Plank, Wood Siding",Raised,,
70118,9412 Fig  St ,"$49,900",04/13/2023,"1,620","1,704",POOR,4,1,0,55,"$58,500",07/13/2023,$36.11,None,1,Aluminum Siding,Raised,,None
70119,2401 Saint Anthony  St ,"$49,900",02/06/2023,"1,370","1,485",POOR,2,1,1,75,"$51,000",06/14/2023,$37.23,Off Street Parking,1,Brick,Raised,,None
70118,9331 Pritchard  St ,"$135,000",10/13/2022,"3,464","3,530",FAIR,7,4,1,110,"$108,000",04/12/2023,$31.18,"Three or More, Driveway Only",2,"Brick, Siding",Raised,,None
70118,8626 Palmetto  St ,"$65,000",07/13/2022,"1,467","1,551",POOR,4,2,0,66,"$47,000",10/04/2022,$32.04,None,1,Stucco,Slab,,
70119,1814 Duels  St ,"$105,000",08/12/2022,"2,260","2,260",FAIR,5,2,0,65,"$93,000",10/28/2022,$41.15,Driveway Only,2,Wood Siding,Raised,,
70118,4109 Hollygrove  St ,"$89,999",02/05/2023,"1,558","1,558",POOR,3,2,0,1,"$85,000",02/14/2023,$54.56,Off Street Parking,1,Wood Siding,Raised,,
70119,2437 Ursulines  Ave ,"$120,000",07/08/2022,"2,066","2,066",AVG,2,1,0,205,"$108,000",06/13/2023,$52.27,None,1,Wood Siding,Raised,,
70118,8526 Edinburgh  St ,"$85,000",05/23/2023,"1,335","1,335",FAIR,2,1,0,57,"$75,000",07/28/2023,$56.18,Driveway Only,1,Stucco,Slab,,
70118,2417 Eagle  St ,"$99,000",06/09/2022,"1,404","1,464",POOR,2,1,0,14,"$90,000",10/05/2022,$64.10,Off Street Parking,1,Wood Siding,Raised,,
70118,8332 Apple  St ,"$125,000",06/21/2022,"1,728","1,890",AVG,3,2,0,135,"$100,000",01/10/2023,$57.87,None,1,Wood Siding,Raised,,
70125,4442  S Johnson  St ,"$367,000",06/13/2023,"4,975","4,975",POOR,7,7,2,22,"$325,000",08/22/2023,$65.33,None,2,"Hardy Plank, Wood Siding",Raised,,
70125,4202  S Roman  St ,"$150,000",11/11/2022,"1,989","2,125",POOR,3,1,0,26,"$140,000",01/31/2023,$70.39,Driveway Only,1,Brick,Raised,,
70125,4028 Erato  St ,"$75,000",01/28/2023,976,"2,390",FAIR,2,1,1,154,"$70,000",09/29/2023,$71.72,"Two, Driveway Only, Off Street Parking",2,"Cinder Block, Fiber Cement",Raised,,None
70119,1620 Duels  St ,"$127,000",09/29/2022,"1,450","1,650",FAIR,3,1,0,9,"$117,000",11/23/2022,$80.69,"Carport, Covered",1,"Brick, Concrete",Slab,,None
70118,9222 Palmetto  St ,"$130,000",02/24/2023,"1,470","1,470",FAIR,3,2,0,36,"$102,250",08/15/2023,$69.56,Driveway Only,1,Stucco,Slab,,
70119,3331-29 Pauger  St ,"$199,999",09/08/2022,"2,173","6,428",FAIR,6,2,0,153,"$165,000",02/24/2023,$75.93,"Two, Driveway Only",2,Siding,Slab,,
70125,1317  S Telemachus  St ,"$114,000",12/08/2022,"1,237","1,357",AVG,3,2,0,6,"$110,000",01/10/2023,$88.92,None,1,Vinyl Siding,Raised,,None
70118,2438 Mistletoe  St ,"$120,000",09/13/2022,"1,291","1,291",FAIR,3,1,1,83,"$100,000",12/22/2022,$77.46,None,1,Vinyl Siding,Raised,,
70118,4034 Hollygrove  St ,"$120,000",07/27/2023,"1,242","1,458",AVG,3,2,0,25,"$105,000",08/31/2023,$84.54,"Carport, Detached",1,Vinyl Siding,Raised,Chain Link,None
70118,8602 Palmetto  St ,"$185,000",02/16/2023,"1,836","1,906",VRGD,3,2,0,108,"$180,000",08/21/2023,$98.04,"One, Driveway Only",1,Vinyl Siding,Slab,,None
70125,4011 General Pershing  St ,"$280,000",08/23/2023,"2,745","2,745",AVG,4,2,0,3,"$255,000",09/22/2023,$92.90,"Three or More, Off Street Parking",2,"Stucco, Wood Siding",Raised,,
70119,2050  N Dorgenois  St ,"$119,000",06/21/2022,"1,151","1,151",FAIR,3,2,0,36,"$114,000",10/19/2022,$99.04,None,1,Brick,Raised,,None
70118,1300 Leonidas  St ,"$199,000",12/20/2022,"1,898","1,898",POOR,2,1,0,37,"$224,000",01/26/2023,$118.02,"Driveway Only, Off Street Parking",2,Hardy Plank,Other,,
70119,2622 Governor Nicholls  St ,"$185,000",11/09/2022,"1,720","1,816",FAIR,3,2,0,9,"$163,650",12/21/2022,$95.15,"One, Driveway Only",1,"Brick, Stucco, Wood Siding",Raised,,
70118,8818 Forshey  St ,"$120,000",01/24/2023,"1,100","1,100",FAIR,3,2,0,23,"$95,500",03/14/2023,$86.82,Driveway Only,1,Siding,Raised,,
70119,3401 Derby  Pl ,"$199,000",09/02/2022,"1,814","2,083",FAIR,4,2,0,28,"$140,000",10/19/2022,$77.18,Driveway Only,2,Wood Siding,"Raised, Slab",,
70119,2837 Ap Tureaud  Ave ,"$237,000",11/04/2021,"2,156","2,800",VRGD,3,2,1,161,"$230,000",11/18/2022,$106.68,Two,1,Brick,Slab,,None
70118,8920 Apricot  St ,"$110,000",05/16/2023,990,"1,372",AVG,2,2,0,6,"$115,000",06/06/2023,$116.16,"Three or More, Driveway Only",1,Wood Siding,Raised,,None
70118,2506 Hamilton  St ,"$155,000",07/18/2023,"1,394","1,705",AVG,3,2,0,-22,"$143,000",09/11/2023,$102.58,"Detached, Off Street Parking",1,Siding,Raised,,
70119,2235 Iberville  St ,"$200,000",05/04/2023,"1,792","1,792",AVG,0,0,2,15,"$150,000",05/26/2023,$83.71,None,1,Siding,"Raised, Slab",,
70115,2415 General Taylor  St ,"$160,000",08/31/2022,"1,425","3,510",POOR,3,2,0,97,"$140,000",01/26/2023,$98.25,Driveway Only,2,Brick,Slab,,
70119,3254 Castiglione  St ,"$160,000",02/25/2023,"1,400","1,400",FAIR,3,1,0,3,"$162,500",03/09/2023,$116.07,"One, Driveway Only",1,"Vinyl Siding, Wood Siding",Raised,,
70119,2408 George Nick Connor  Dr ,"$124,000",06/17/2022,"1,084","1,232",FAIR,2,1,0,62,"$125,000",11/10/2022,$115.31,"Two, Driveway Only",1,Siding,Raised,,
70115,4523  S Liberty  St ,"$245,000",05/05/2023,"2,141","2,141",FAIR,3,2,1,48,"$210,000",06/22/2023,$98.09,"One, Carport",2,Brick,"Other, Slab",,
70119,2403 Laharpe  St ,"$200,000",10/17/2022,"1,696","1,696",POOR,4,1,1,2,"$197,000",01/17/2023,$116.16,None,1,Wood Siding,Raised,,
70125,4312  S Tonti  St ,"$219,999",08/08/2022,"1,848","1,960",AVG,5,3,0,46,"$215,000",04/13/2023,$116.34,"Driveway Only, Off Street Parking",3,Wood Siding,Raised,,
70125,7014 Pritchard  Pl ,"$225,000",04/13/2023,"1,889","2,027",FAIR,3,2,0,12,"$192,700",05/23/2023,$102.01,Off Street Parking,1,Wood Siding,"Raised, Slab",,None
70125,3413  S Galvez  St ,"$125,000",11/01/2022,"1,045","1,075",POOR,1,1,0,0,"$110,000",12/28/2022,$105.26,"Two, Driveway Only",2,Vinyl Siding,Raised,,
70118,8325 Willow  St ,"$158,000",06/19/2022,"1,310","1,310",FAIR,2,2,0,85,"$180,000",02/08/2023,$137.40,Carport,1,Brick,Slab,,
